dataset,held_out,seed,shift_balacc,seen_balacc,shift_ECE,seen_ECE,shift_Brier,shift_cov_marg,shift_cov_bal,seen_cov_marg,shift_setsize,shift_AURC,seen_AURC,set_empty,set_normal_only,set_attack_only,set_both
UAV-NIDD,MITM,2,0.9967776443701352,0.9999744735162731,0.001155624106094697,8.28751578286414e-05,0.001268738878162162,0.003001616254906488,0.002329886313862435,0.9185330417515019,0.003001616254906488,4.134783923530039e-06,6.318701894246311e-09,0.9969983837450935,1.9241129839144154e-05,0.002982375125067344,0.0
UAV-NIDD,Jamming,2,0.9757274303905288,0.9999892768293729,0.039320485129847864,3.2376286433827296e-05,0.030132009818203225,0.47813668820129207,0.24939699205448354,0.9147895672791938,0.47813668820129207,0.0018720009005754072,8.963721711870311e-10,0.5218633117987079,0.0,0.47813668820129207,0.0
UAV-NIDD,BruteForce,2,0.9983244124576578,0.9999866755496336,9.245476736296995e-05,2.6224005103103742e-05,8.83789451868603e-05,0.9822481276673475,0.49614158698204996,0.9134083339889335,0.9822481276673475,3.448070924490806e-08,6.876984620827198e-10,0.017751872332652484,0.0,0.9822481276673475,0.0
UAV-NIDD,De-authentication,2,0.9983579638752053,0.9999793631467073,0.0003598217339207954,3.267952651922829e-05,0.00035983966274984706,0.8504857862540482,0.4775712265104061,0.9127076327320901,0.8504857862540482,2.266646475464439e-07,1.2461794890004076e-09,0.14951421374595178,0.0,0.8504857862540482,0.0
UAV-NIDD,DDoS,3,0.992292820878383,0.999972494223787,0.018367935268277208,5.136359762132514e-05,0.007222632150372089,0.03856807689396806,0.0511852507546904,0.9208689535764528,0.03856807689396806,0.0001281925866628454,8.051334609812736e-09,0.961431923106032,0.0005903277075607357,0.037977749186407325,0.0
UAV-NIDD,UDP Flooding,3,0.9991789819376027,0.9999744206272062,0.0038302778999248516,4.9589105120170675e-05,0.0012894585902489975,0.2934033412887828,0.15005025773743624,0.9122210467986499,0.2934033412887828,2.1851277702955055e-07,1.9672653109403492e-08,0.7065966587112171,3.818615751789976e-05,0.29336515513126493,0.0
UAV-NIDD,MITM,3,0.9979134795331481,0.9991521050952205,0.0021661748100782682,6.940081021665719e-05,0.0019252000437196938,0.0031747864234587856,0.010530332303955742,0.9381645426438429,0.0031747864234587856,1.0296834167958005e-05,1.4535281653213822e-08,0.9968252135765412,0.0002116524282305857,0.0029631339952282,0.0
UAV-NIDD,Jamming,3,0.9881777709126627,0.9999892768293729,0.01873534195665138,4.1425424295903314e-05,0.01595230919433386,0.6127167630057804,0.3360906982660769,0.9155093572698789,0.6127167630057804,0.00044035493239419804,1.344572489680602e-09,0.3872832369942196,0.0014280856851411085,0.6112886773206392,0.0
UAV-NIDD,BruteForce,3,0.9983328003120446,0.9999866755496336,0.00010901815581275924,6.783894847671451e-05,6.333105034785575e-05,0.9850213387801192,0.5243591555290009,0.9174468308289409,0.9850213387801192,1.599822736043971e-08,2.0631494912362622e-09,0.014978661219880769,0.0005479998007273452,0.9844733389793919,0.0
UAV-NIDD,De-authentication,3,0.9983579638752053,0.9999896815733538,0.00035984142596978685,2.038081760269428e-05,0.00035984166965936877,0.8810723281756028,0.5091461644405116,0.9243860185468257,0.8810723281756028,2.5904780716354435e-07,3.7388178837595315e-09,0.11892767182439727,0.0035984166966534724,0.8774739114789493,0.0
UAV-NIDD,DDoS,4,0.9925904424346126,0.9999587413356805,0.008509569134171873,7.216346119583091e-05,0.007901135122270525,0.030152122909256035,0.022536742615352937,0.9159722973704144,0.030152122909256035,0.0001712546568553832,1.3906978515613674e-08,0.9698478770907439,0.00013622947097555437,0.03001589343828048,0.0
UAV-NIDD,UDP Flooding,4,0.9985994509713314,1.0,0.004127951406341018,6.173857870760312e-05,0.0013066796771951713,0.4373651551312649,0.22125526407294363,0.9149916880761675,0.4373651551312649,8.277100480658445e-07,0.0,0.562634844868735,0.0,0.4373651551312649,0.0
UAV-NIDD,MITM,4,0.998351538057767,0.9999872367581366,0.0016543278330154454,2.5136364778188813e-05,0.001653919256133567,0.8034710998229816,0.4073101250070852,0.9161953598270618,0.8034710998229816,1.1532958111932451e-05,1.8955581511372735e-09,0.1965289001770184,1.9241129839144154e-05,0.8034518586931425,0.0
UAV-NIDD,Jamming,4,0.9805921487934482,0.9999892768293729,0.03562784945472308,2.1170293843630894e-05,0.03570298201467433,0.4787487249234954,0.2567861546160599,0.9124820052502328,0.4787487249234954,0.0021567944027490833,8.352540143753041e-08,0.5212512750765046,0.0006120367222033322,0.47813668820129207,0.0
UAV-NIDD,BruteForce,4,0.9991454305200552,0.9999733510992672,0.00026294445522642815,5.653687562118358e-05,0.00014181112023181646,0.9844899450339594,0.49808657753228497,0.9184957910471245,0.9844899450339594,5.5446103633085986e-08,1.3719438359753997e-07,0.015510054966040618,1.6606054567495308e-05,0.9844733389793919,0.0
UAV-NIDD,De-authentication,4,0.9991789819376027,0.9999896815733538,0.00023546202557599258,2.7787666109668044e-05,0.00011175017951372812,0.8524649154372076,0.4786825621337644,0.9154794660144706,0.8524649154372076,3.237150680688153e-08,6.407006041037017e-08,0.14753508456279238,0.0,0.8524649154372076,0.0
UAV-NIDD,DDoS,5,0.9701900428029167,0.9983552631578947,0.025513812064813877,7.552478680461722e-05,0.028697796160741598,0.11399379399076667,0.05752719384013689,0.9227356346715724,0.11399379399076667,0.0028800162654993677,4.391500234247211e-09,0.8860062060092333,0.0,0.11399379399076667,0.0
UAV-NIDD,UDP Flooding,5,0.996088150117489,0.9983041044123072,0.002383246452721255,0.00013953522789445752,0.0030065822055171934,0.3750835322195704,0.18974809720666075,0.9149413127802126,0.3750835322195704,1.899040278936634e-05,1.9668671988880665e-08,0.6249164677804296,0.0,0.3750835322195704,0.0
UAV-NIDD,MITM,5,0.9975499892631304,0.9983169734323045,0.001968314242939974,7.362628114208619e-05,0.001271564444663269,0.0031363041637804973,0.008077012750644045,0.9172762235125557,0.0031363041637804973,1.0520070753820431e-05,3.2230748537545444e-08,0.9968636958362195,0.00015392903871315323,0.002982375125067344,0.0
UAV-NIDD,Jamming,5,0.9525345437991236,0.9966998031451624,0.08279713766822255,0.00011162048480974323,0.07535379322397327,0.5262835770146209,0.2745104994324631,0.921034803963079,0.5262835770146209,0.007999953233833576,8.067624726805699e-09,0.47371642298537914,0.0,0.5262835770146209,0.0
UAV-NIDD,BruteForce,5,0.9988686313252892,0.9983419387075283,0.00039783697507349085,6.313736485691381e-05,0.0002336024208090905,0.9845065510885269,0.49728233517866127,0.9169485747253036,0.9845065510885269,2.0576043025878162e-07,8.940657170793912e-09,0.015493448911473123,0.0,0.9845065510885269,0.0
UAV-NIDD,De-authentication,5,0.9991789819376027,0.9983449447312485,0.0002585413714290854,8.707929766440434e-05,0.00014504579606704633,0.8607412738395106,0.4833299656496262,0.9137266890859065,0.8607412738395106,6.47488389703929e-08,2.907791651762316e-09,0.13925872616048937,0.0,0.8607412738395106,0.0
UAV-NIDD,DDoS,6,0.9967119641457338,0.996696773427683,0.019969473790469275,8.081054808150166e-05,0.004430889589738985,0.03694845985014758,0.027593286195537563,0.9267665837030624,0.03694845985014758,1.069330636334001e-05,1.1351237025345891e-07,0.9630515401498524,0.0001665026867478998,0.03678195716339968,0.0
