model,dataset,held_out,seed,shift_balacc,shift_ECE,shift_cov_marg,shift_cov_bal,seen_cov_marg
MLP,UAV-NIDD,MITM,1,0.9193412032440127,0.1103986396640952,0.010679135278667706,0.005402721803632965,0.9146024205406629
MLP,UAV-NIDD,MITM,2,0.7692425589540244,0.15938684974198442,0.02182007100181834,0.4819459316801762,0.8983523734117559
MLP,UAV-NIDD,MITM,3,0.9682963525408477,0.06308011256950108,0.09920050798048893,0.23928162728466448,0.9057421860272217
MLP,UAV-NIDD,MITM,4,0.8573041121256764,0.0930415311823236,0.010852310445348803,0.012810129211040373,0.9139614674056479
MLP,UAV-NIDD,Jamming,0,0.991358024691358,0.002108088514034739,0.9690879412364823,0.6259259259259259,0.9090880223548837
MLP,UAV-NIDD,Jamming,1,0.991358024691358,0.0007011846337097547,0.9631707814731687,0.554320987654321,0.9093103010288327
MLP,UAV-NIDD,Jamming,2,0.9938271604938271,0.00033209061804369755,0.9977555600897776,0.9728395061728394,0.9029594817731488
MLP,UAV-NIDD,Jamming,3,0.9888888888888889,0.0005371255427680958,0.9707202611711896,0.645679012345679,0.9059126127270418
MLP,UAV-NIDD,Jamming,4,0.9827160493827161,0.0010495833633110668,0.9700061211997552,0.6370370370370371,0.9077861044074685
MLP,UAV-NIDD,BruteForce,0,0.9912951157834566,9.356653644913863e-05,0.9872711421098518,0.4986663311524912,0.9140182504719949
MLP,UAV-NIDD,BruteForce,1,0.9875788302981727,0.0002831541443650723,0.9866234898492963,0.49833920483140415,0.917440213971051
MLP,UAV-NIDD,BruteForce,2,0.9925171019031109,0.0002959637019376379,0.9873458712168389,0.49870407649723203,0.9151982378854625
MLP,UAV-NIDD,BruteForce,3,0.9876291574244938,0.00017387086289747002,0.9869722256819031,0.4985153497735279,0.914332913782253
MLP,UAV-NIDD,BruteForce,4,0.9813808272288393,0.0003466607392561752,0.9871216838958774,0.49859084046300955,0.9120516047828823
MLP,UAV-NIDD,De-authentication,0,0.991358024691358,0.00040871074152137865,0.890658747300216,0.5,0.9126925898752751
MLP,UAV-NIDD,De-authentication,1,0.9876543209876543,0.0006546103198772357,0.890658747300216,0.5,0.9110112496943018
MLP,UAV-NIDD,De-authentication,2,0.991358024691358,0.0005543914597283889,0.8901187904967602,0.49969687784177025,0.9106138420151626
MLP,UAV-NIDD,De-authentication,3,0.9876543209876543,0.0010558535973742567,0.8901187904967602,0.49969687784177025,0.9109501100513573
MLP,UAV-NIDD,De-authentication,4,0.9814814814814814,0.002809156589730466,0.8901187904967602,0.49969687784177025,0.9102470041574957
